MGI ID	MGI Symbol	Unigene	UniProt	UniRef90
MGI:1932075	Lpaat-alpha	Mm.8684	O35083	Q99943
MGI:1336186	Agpat3	Mm.141230	Q3TXT9	Q9NRZ7
MGI:1915512	Agpat4	Mm.258300	Q8K4X7	Q8K4X7
MGI:1196345	Agpat5	Mm.24117	Q3TDP3	Q9D1E8
MGI:2138993	Agpat7	Mm.33438	A2AGV6	Q643R3
MGI:88437	Cnp	Mm.15711	P16330	P16330
MGI:1914710	Decr1	Mm.393293	Q4FJK0	Q9CQ62
MGI:1347059	Decr2	Mm.292869	Q3TR93	Q9WV68
MGI:1919161	Bdh1	Mm.293470	A1E283	Q80XN0
MGI:108109	Ywhag	Mm.233813	P61982	P61981
MGI:1914291	Oxct1	Mm.13445	A1E285	Q9D0K2
MGI:1355330	Phgdh	Mm.16898	Q3TEE5	O43175
MGI:1338068	Pdpk1	Mm.10504	Q3TRL2	O15530
MGI:1278344	Nipsnap1	Mm.293716	O55125	Q9BPW8
